Day,Work_Start_Time,Truck_Enter_Time,Parked_Time,Parked_Time2,Parked_Time3,Engine_Off_Time,Engine_Off_Time2,Engine_Off_Time3,Parked_Location,Vehicle_Type,Delivery,Pickuponly,Handtruck (Y/N),Num_Small_Package,Num_Large_Package,Num_Oversized_Package,Num_Delivery_Workers,Num_Package_Picked,Pickup,Num_Package_Failed,Failed,Reason for Failed,Engine_On_Time,Truck_Leave_Time,Notes
2/5/2018,AM,8:46:35,8:46:59,,,8:47:02,,,4,B,0,,N,2,0,0,2,0,,,,,8:50:25,8:50:53,
2/5/2018,AM,10:12:50,10:13:10,,,10:13:13,,,1,V,0,,N,0,0,0,1,0,,,,,10:13:55,10:14:10,The van is from  city of seattle and parked the truck and took a hand truck and leave
2/5/2018,AM,10:50:18,10:50:30,10:51:04,,10:50:33,10:51:16,,1,CV,1,,Y,6,4,0,1,1,1,,,,11:31:46,11:31:53,
2/5/2018,AM,11:50:33,11:51:01,,,11:51:09,,,4,SV,0,,N,0,0,0,1,0,,,,,12:20:51,12:21:29,The driver rearranged his tools ( ladder and two red tool boxes) and stays for about 30 minutes 
2/5/2018,AM,11:55:41,11:56:00,,,11:58:06,,,5,V,0,,Y,10,5,0,1,2,1,,,,12:19:59,12:20:37,
2/5/2018,PM,13:09:55,13:10:09,,,13:10:14,,,4,V,0,,N,0,0,0,1,0,,,,,14:20:04,14:22:19,The driver(worker) parked for 1 hr and only load a black tool box into his van and left.
2/5/2018,PM,15:19:15,15:19:45,,,15:19:47,,,5,SV,0,,N,0,0,0,2,0,,,,,,,A contracting service van full of tools inside 
2/5/2018,PM,13:07:37,13:07:51,,,13:08:16,,,1,V,0,,N,0,0,0,1,0,1,,,,13:25:00,13:25:10,another person comes back with packages - 47 Small Envelop 
2/5/2018,PM,15:02:01,15:02:25,,,15:02:33,,,5,V,0,,N,0,0,0,1,0,1,,,,15:18:23,15:18:38," brought  1(mail) to the building but brought 21 boxes  - mails back with HandTruck and then it took him some time to put handTruck back,"
2/5/2018,PM,15:20:23,15:21:01,,,15:21:07,,,2,B,,,N,0,0,0,2,0,,,,,,,The mentioned that they only did maintenance
2/5/2018,AM,9:19:08,9:19:50,,,9:20:23,,,2,B,0,,Y,0,124,0,1,0,,,,,9:30:10,9:31:01,
2/5/2018,AM,10:07:43,10:08:36,10:10:01,,10:08:40,10:10:01,,4,B,0,,Y,0,125,0,2,3,1,,,,11:11:10,11:12:03,
2/5/2018,AM,10:58:22,10:59:16,,,10:59:27,,,3,B,0,,N,0,0,0,1,0,,,,,11:05:28,11:06:07,"just come to the security officer, no deliver activities"
2/6/2018,AM,9:26:28,9:27:15,9:28:35,,9:27:15,9:28:37,,4,BV,0,,Y,0,0,1,1,0,,,,,10:17:22,10:17:34,"The track had two park time because it was adjusting position for dock, 1 oversized package size(6'2 x 3')"
2/6/2018,AM,9:45:40,9:45:53,,,9:45:54,,,1,V,0,,N,0,0,0,1,0,,,,,10:06:32,10:06:35,not a delivery vehicle 
2/6/2018,PM,12:28:02,12:28:13,,,12:28:15,,,1,V,0,,N,0,0,0,1,0,,,,,13:04:19,13:04:22,
2/6/2018,PM,13:34:54,13:35:46,,,1:35:47,,,1,V,0,,Y,0,11,0,1,3,1,,,,14:04:49,14:04:55,
2/6/2018,PM,14:21:26,14:22:18,,,14:22:24,,,4,SV,0,,N,0,0,0,1,0,,,,,,,
2/6/2018,PM,14:40:43,14:41:19,,,14:41:26,,,3,V,0,,N,0,0,0,1,0,1,,,,15:08:37,15:08:47,"Pic 10 security put barricades because he wants construction contractor to come to ask him, See pic 11 with handtruck"
2/6/2018,AM,8:37:18,8:37:25,,,8:37:38,,,1,V,0,,N,0,0,0,1,0,,,,,9:29:19,9:29:29,This van delivers envelope letters
2/6/2018,AM,9:44:04,9:44:53,9:46:19,9:47:35,9:45:04,9:46:39,9:47:47,3,B,0,,Y,2,66,1,1,0,,,,,14:26:21,14:26:28,Parked three times but no packages 
2/6/2018,AM,10:41:09,10:41:42,10:42:12,,10:41:51,10:42:51,,1,CV,1,,Y,5,8,1,1,0,,,,,11:24:58,11:25:09,The ups truck return 0 packages
2/6/2018,PM,12:16:20,12:16:54,,,12:16:55,,,4,SV,0,,N,0,0,0,2,0,,,,,12:19:29,12:19:33,They are voluteers of a charity organization. They come back with some toilet paper for recycling. Parking location 4 is close to the room where the paper is stored in.
2/6/2018,PM,13:20:44,13:21:01,,,13:21:02,,,5,P,1,,Y,1,4,0,1,0,,,,,13:41:59,13:42:56,The driver brought back 5 flatted empty box. Two of the large packages are the drawings.
2/6/2018,PM,13:51:29,13:51:56,,,13:51:57,,,2,CV,1,,Y,8,1,0,1,1,1,,,,14:31:11,14:31:16,The driver talked with security person for about 1 minute.
2/6/2018,PM,14:25:16,14:26:53,,,14:26:54,,,5,SV,0,,N,0,0,0,1,0,,,,,,,The car was still there when we left.
2/7/2018,PM,12:28:53,12:29:20,,,12:29:23,,,5,V,0,,N,0,0,0,1,0,,,,,13:10:05,13:10:47,He is from city of seattle and took some documents (mails) in a USPostal service basket and went up
2/7/2018,PM,13:09:52,13:10:42,,,13:10:44,,,3,Cv,1,,Y,11,0,0,1,0,,,,,13:38:16,13:38:36,
2/7/2018,PM,14:54:46,14:54:55,,,14:54:58,,,4,P,1,,Y,1,2,0,1,0,,,,,15:13:31,15:13:56,
2/7/2018,PM,15:24:55,15:25:24,15:26:07,,15:26:09,,,5,SV,0,,N,0,0,0,2,0,,,,,,,A contracting service van full of tools inside 
2/7/2018,PM,15:46:45,15:47:42,,,15:47:46,,,3,B,1,,Y,0,11,0,1,0,,,,,16:03:44,16:04:28,
2/7/2018,PM,14:50:31,14:51:05,,,14:51:05,,,3,B,0,,Y,0,0,2,2,2,,,1,4,15:40:17,15:40:48,The driver delivered a new chair and a a large box. One of them said they brought back a shelf and chair that the customer didn't like from the building 
2/7/2018,PM,14:56:03,14:57:23,,,14:59:04,,,5,CV,0,,Y,0,3,0,1,3,1,,,,15:24:34,15:25:40,The driver picked up 14 baskets of envelopes to be delivered and 3 large  packages
2/7/2018,PM,15:39:35,15:40:01,,,15:49:03,,,1,B,0,,Y,0,0,0,2,14,1,,,,15:45:27,15:45:40,Two small and 12 large packages picked up from the building.
2/7/2018,AM,8:22:02,8:23:00,,,8:23:01,,,2,P,0,,N,0,0,0,1,0,,,,,8:30:06,8:30:32,Truck for construction 
2/7/2018,AM,8:35:30,8:36:02,,,8:36:05,,,1,V,0,,Y,3,0,0,1,0,,,,,9:11:46,9:12:55,several mail baskets for documents
2/7/2018,AM,10:11:35,10:12:09,,,10:12:13,,,2,B,0,,Y,1,0,3,1,0,,,,,13:44:24,13:45:18,3 oversized package are chairs
2/7/2018,AM,10:29:30,10:30:25,,,10:30:26,,,1,P,1,,N,0,0,5,1,0,,,,,10:33:45,10:34:20,"honda, parked in the LB to wait somebody pickup several posters, went to passenger parking area after"
2/7/2018,AM,11:14:57,11:15:22,,,11:15:27,,,1,B,0,,N,0,0,0,1,0,,,,,14:04:59,14:05:17,"Not a delivery truck, sit for 30 minutes"
2/7/2018,AM,11:32:22,11:33:16,,,11:33:20,,,3,V,0,,N,0,1,0,1,1,1,,,,11:47:16,11:49:57,
2/7/2018,AM,12:13:19,12:14:22,,,12:14:24,,,4,V,1,,Y,0,28,0,1,0,,,,,13:05:52,13:06:20,white copy papers
2/7/2018,AM,8:19:20,8:20:18,,,8:20:28,,,3,CV,0,,N,,,,2,,,,,,11:31:26,11:32:19,"Brought one chair, came back with a ceiling light, then brought up cardboard and metal scraps"
2/7/2018,AM,8:37:07,8:39:28,,,8:40:50,,,5,CV,0,,Y,,36,,1,67,1,,,,12:04:48,12:05:27,"Talked with Mike while delivering the packages, talked on the phone sometimes"
2/7/2018,AM,9:07:20,9:08:10,,,9:08:12,,,8,P,1,,N,1,0,0,1,0,,,,,9:15:09,9:15:30,Parked originally in spot 2 and then moved to the wall by the entrance
2/7/2018,AM,10:44:08,10:45:29,,,10:45:36,,,1,SV,0,,N,0,0,0,1,0,,,,,10:55:20,10:55:25,Came and then left without delivering anything
2/7/2018,AM,10:50:10,10:51:33,,,10:51:38,,,4,CV,1,,Y,10,2,1,1,0,,,,,11:36:55,11:37:20,"3 envelopes and 7 small boxes, left with nothing"
2/8/2018,AM,8:05:05,8:06:25,,,8:07:10,,,1,CV,1,,N,0,1,0,1,0,,,,,8:21:58,8:22:35,"Delivered one box with what looked like gold fish crackers inside of it. Possibly for bloodworks, as he also had drinks in his van which they normally have at blood drives for after you donate blood."
2/8/2018,AM,8:39:30,8:39:36,,,8:39:41,,,1,CV,0,,Y,0,3,0,1,0,,,,,9:09:15,9:10:37,Had 3 mail boxes with him that he brought back empty after delivering the contents
2/8/2018,AM,8:47:24,8:47:50,,,8:48:11,,,4,,1,,Y,1,0,0,1,5,1,,,,8:59:00,8:59:21,"Had one envelope which he delivered to a lady who met him there. He also picked up a backpack, a computer moniter, an empty water fountain bottle, a box, and a foldable table from the loading dock. "
2/8/2018,AM,9:34:41,9:35:16,,,9:35:19,,,5,CV,0,,Y,0,0,10,1,0,,,,,9:41:35,9:42:16,Delivered 10 boxes that ocntained fluorescent lights made by general electrics. He put them on the back wall opposite the elevator 
2/8/2018,AM,11:32:49,11:33:57,11:35:32,,11:34:01,11:35:53,,4,CV,0,,Y,10,54,0,1,0,,,,,12:44:13,12:44:17,Delievered parts for a computeer. HP Elite Display monitors
2/8/2018,AM,7:59:49,8:00:09,,,8:00:17,,,4,B,0,,Y,4,8,1,2,0,,,,,8:04:58,8:05:16,The over-sized object was a donor bed.
2/8/2018,AM,8:00:00,8:00:59,,,8:01:03,,,3,B,0,,Y,1,23,4,1,1,1,,,,11:19:17,11:19:57,
2/8/2018,AM,8:46:26,8:47:28,,,8:48:19,,,2,B,0,,Y,0,0,1,2,1,1,,,,11:31:30,11:33:02,They picked up  old desk and brought a new desk from the truck.
2/8/2018,PM,12:17:59,12:18:05,,,12:18:09,,,1,SV,0,,N,0,0,0,1,0,1,,,,13:16:27,13:16:40,"Deliver documents and building documents , put hundreds of mailboxs back. See picture"
2/8/2018,PM,12:36:07,12:36:42,12:37:17,,12:37:00,12:37:19,,3,CV,0,,Y,0,0,1,1,1,1,,,,13:06:39,13:07:09,"Deliver a box of cloths , drop off and pick up"
2/8/2018,PM,12:53:09,12:53:15,,,12:53:22,,,5,SV,0,,N,0,0,0,2,0,,,,,15:41:40,15:42:04,Deliver documents 
2/8/2018,PM,13:24:05,13:24:55,,,13:25:04,,,1,V,0,,Y,0,4,0,1,0,,,,,13:42:40,13:42:43,Deliver packages to 3rd floor
2/8/2018,PM,14:01:42,14:02:16,,,14:02:23,,,2,CV,1,,Y,10,43,0,2,0,,,,,14:18:11,14:18:23,"Ups delivery , two delivery works, one parks his car at the loading bay, another from outside of the parking garagae, and drive another car "
2/8/2018,PM,14:23:10,14:24:14,,,14:24:24,,,3,SV,0,,N,0,0,0,0,0,,,,,14:29:59,14:30:07,"Deliver nothing, park a few minutes and leave, talk with some people for while"
2/8/2018,PM,14:57:38,14:57:45,,,14:57:53,,,4,SV,0,,N,0,0,0,0,0,1,,,,15:20:45,15:20:48,Pick up envelopes 
2/8/2018,PM,15:39:51,15:40:57,15:41:51,,15:40:59,15:42:53,,4,B,0,,N,0,0,0,6,7,1,,,,15:48:34,15:48:44,The car come to pick up many medical equipments about 6 large box ( very large)
2/8/2018,PM,12:19:24,12:19:27,,,12:19:30,,,5,P,1,,N,1,0,0,1,0,,,,,12:29:43,12:29:49,Normal Vehicle 
2/8/2018,PM,12:41:09,12:41:20,,,12:41:27,,,2,CV,0,,Y,3,0,0,1,6,1,,,,12:55:21,12:55:26,"All six packages are picked up in the building, Five large and one small"
2/8/2018,PM,13:23:33,13:24:19,,,13:24:22,,,4,SV,0,,N,0,0,0,1,0,,,,,13:42:32,13:43:10,Not for packages delivery
2/8/2018,PM,13:51:15,13:51:33,,,,,,3,P,0,,N,0,0,0,1,2,1,,,,,13:57:17,"Not for packages delivery, for picking up materials (doors), engine was on at all time, came from underground parking garage"
2/8/2018,PM,14:19:21,14:19:38,,,14:19:40,,,4,P,1,,Y,0,0,6,1,0,,,,,14:35:07,14:35:19,Normal vehicle 
2/8/2018,PM,14:43:27,14:43:52,14:44:18,,14:43:55,14:44:19,,4,V,0,,Y,0,14,3,2,0,,,,,14:50:25,14:50:31,"1 Driver and 1 passenger, Drop all the packages and the driver drived the vehicle and left, the other man stay there with the package, a man from the building came out with HandTruck and begin to deliver for the first Round, and then for the Second Round Delivery, two mem came from the building to deliver"
2/8/2018,PM,15:34:16,15:34:50,,,15:34:51,,,3,P,1,,Y,12,0,0,1,0,,,,,15:50:42,15:50:44,"Not normal packages, but are prints, graphics"
2/9/2018,PM,12:07:28,12:10:36,,,12:10:42,,,5,B,0,,N,0,0,21,1,0,,,,,14:30:12,14:30:30,"This truck had trouble parking. Seemed to be deliverying items for some kind of renovation (i.e. wood). Also rolled in large boxes, as seen in photos, which may have had sometihng inside."
2/9/2018,PM,12:22:41,12:24:53,14:16:21,,12:25:36,14:17:02,,4,B,0,,Y,0,96,0,2,96,,,1,3,15:13:50,15:14:10,"This company was deliverying water to the water coolers throughout the building. At one point, he reparked to better position himself to unload more water. In the end, 3 water jugs were failed to be delivered as he had miscounted how many he would need to deliver. The two delivery drivers took 7 trips into the building, each time with 16 jugs of water. They returned with all of the empty bottles as well."
2/9/2018,PM,13:33:05,13:33:33,,,13:33:43,,,2,P,1,,N,0,4,0,1,0,,,,,13:52:39,13:52:55,"Delivered in a passenger car. He delivered 4 water heaters, which he gave to someone who met him in the loading dock. The person who met him did not know he was here, and the delivery driver had to sit and wait for 20 minutes until he called someone for someone to show up to pick up the items. The man signed, and the delivery driver left."
2/9/2018,PM,13:59:34,13:59:59,,,14:00:06,,,2,V,1,,Y,1,18,0,2,0,,,,,14:17:42,14:18:13,Quick and efficient delivery
2/9/2018,PM,14:54:51,14:56:05,,,14:56:11,,,5,CV,0,,Y,0,3,0,1,0,1,,,,15:22:45,15:23:08,"Returned with 20 mail boxes, which most likely had indivudal letters in them. He also delivered 3 boxes, but to another MC delivery truck"
2/9/2018,AM,9:03:43,9:05:20,,,9:06:02,,,4,B,0,,Y,0,14,0,2,213,1,,,,12:19:48,12:20:24,Packages taken: 174 large. Packages brought: 14 (13+ 1 shown in image 1 and 3) A large handtruck was also brought by them(image 2).The vehicle was there when I left.  Hossana: Picked up 39 large boxes and wrapped them all up before loading. 
2/9/2018,AM,9:33:38,9:34:58,,,9:35:02,,,3,B,0,,Y,1,1,0,2,14,1,,,,15:33:34,15:33:55,"Image 2 shows the packages. There is a green bag and some tools that haven't been included. The box in image 3 was also taken out. It wasn't a package. The vehicle was there when I left.  Hosanna:10 rollers (flat matt with wheels on it), and 4 oversized packages"
2/9/2018,AM,10:34:22,10:35:40,,,10:36:08,,,5,V,0,,N,0,0,0,1,0,,,,,10:49:19,10:50:04,"The driver parked the van, talked to Mike and left. He did not have packages."
2/9/2018,AM,11:35:19,11:36:19,,,11:36:21,,,2,B,0,,Y,0,0,1,1,0,,,,,11:47:09,11:47:54,The package comprised multiple large boxes wrapped together (as shown in image 2) and is therefore considered as 1 oversized package.
2/9/2018,AM,,,,,,,,1,V,0,,,0,0,0,0,0,,,,,8:16:32,8:23:06,"In the garage before 8:00am, driver is on the phone"
2/9/2018,AM,,,,,,,,2,B,0,,Y,9,13,4,1,2,1,3,1,5,11:11:24,11:14:19,"In the garage before 8:00am , For the frist delivery, he brought to many packages on the Hand truck, therefore, it's too tall and oversize, therefore, he dropped off a few of them and bring them back to reload them with more packages left in the truck and do a secondary delivery, the two packages picked up are returned packages, and he took back those and bring more packages on the HT and going to do a third delivery , for his third delivery he came back in from entrance,  For this delivery, he delivered it outside the building (1 small, 2 big packages - not included in this building) because his area is this building and the other one"
2/9/2018,AM,,,,,,,,3,B,0,,,,,,,,,,,,8:55:29,8:55:43,In the garage before 8:00am
2/9/2018,AM,,,,,,,,5,V,0,,,,,,,,,,,,9:07:51,9:08:03,In the garage before 8:00am
2/9/2018,AM,8:13:01,8:13:24,,,8:13:33,,,4,SV,0,,N,0,0,0,0,0,,,,,8:21:06,8:21:08,Come in the wrong building then left
2/9/2018,AM,8:14:38,8:14:58,,,8:15:22,,,8,SV,0,,N,0,0,0,0,0,,,,,8:19:34,8:20:04,"The garage is full, it parked on the side and then left"
2/9/2018,AM,9:12:42,9:13:01,,,9:13:09,,,5,V,0,,N,0,1,0,1,0,,,,,9:36:03,9:36:07,A dozen of drinks
2/9/2018,AM,11:01:33,,,,,,,,P,0,,Y,0,0,4,1,0,,,,,,11:31:31,"This one tried to enter and park inside, but failed. Therefore it parked outside the building as picture shown, affected traffic a lot during this period. The total truck has six regular restrooms and one restroom for disabled people. They unloaded 3 regular restrooms and 1 restroom for disabled people, left them in the garage and then left. The engine is on all the time"
2/9/2018,PM,12:12:08,12:12:56,12:14:10,,12:12:58,12:14:13,,2,B,0,,Y,1,19,0,1,21,1,,,,12:55:05,12:55:09,"If you track the information from yesterday afternoon, you will find this company delivered 40 large pagages (hp) yesterday afternoon, but delivery a wrong style. Therefore, they deliver the right ones today and pick up the wrong ones day"
2/9/2018,PM,12:12:08,12:12:56,12:14:10,,12:12:58,12:14:13,,2,B,0,,Y,0,21,0,1,19,1,,,,12:55:05,12:55:09,The same truck as the above one
2/9/2018,PM,12:28:01,12:28:12,,,12:28:16,,,1,V,0,,N,,,,,,,,,,13:12:25,13:12:43,"It's not for delivery, a man bring a tool box looks like he will fix or install something"
2/9/2018,PM,12:47:38,12:57:17,12:57:17,,,,,2,P,0,,Y,,,,,,,,,,,13:06:45,"This is the same one as above. In the morning, it could not parking because of the trailer and the hook, so he left those restrooms and then left to unload the trailer. Now he came back to move the restrooms from the bottom layer to the top layer. When he came in, the garage is full, he parked on the side and reload two restrooms on his truck and wait. Luckily, DENALI is going to left. Then he took the location 2, and unload the restrooms to the top layer, and then do the same thing to the remain one. Engine is all time on."
2/9/2018,PM,13:41:28,13:41:31,,,13:41:42,,,1,P,0,,N,0,0,0,0,0,,,,,13:49:45,13:49:53,"It's not here for delivery. More like personal business, bring something like paperwork "
2/9/2018,PM,14:26:40,14:27:28,,,14:27:30,,,1,SV,0,,Y,0,0,0,0,2,1,,,,14:46:12,14:46:16,"The vehicle came from the upper parking garage. It's not here for delivering but picking up staffs. Four people from the building including her bring the staffs down. Finally, it drove back to the upper garage again"
2/9/2018,PM,15:11:26,15:11:50,,,15:11:53,,,2,CV,0,,Y,0,0,0,0,5,1,,,,15:19:06,15:19:58,"If you track the information from my partner, there is another MC Delivery truck parking at Location 5. Driver of my vehicle is not here for delivery but for picking up 5 packages from the other car. 3 small ones and two large ones"
2/12/2018,AM,8:48:40,8:49:13,,,8:50:08,,,2,B,0,,Y,1,85,19,1,0,,,,,9:04:55,9:05:26,"Regularly deliver paper towels, toilet papers etc.. for the building usually on Monday ( super fast delivery man)"
2/12/2018,AM,9:19:34,9:20:28,9:23:04 AM,10:10:50 AM,9:21:26,9:23:08,10:10:55,2, V,0,,Y,0,0,0,1,0,,,,,13:02:58,13:03:03,"he changed parked locatin three times ( 2,5 then 4 - parked around10ish) he brought several pack of soda drinks and left one pack"
2/12/2018,AM,9:26:33,9:27:48,,,9:27:51,,,2,B,0,,Y,0,0,3,2,0,,,,,12:43:06,12:43:07,Three tables 
2/12/2018,AM,10:11:55,10:14:01,,,10:16:28,,,5,SV,0,,N,0,0,0,1,0,,,,,10:32:08,10:34:32,He took four portable toilets 
2/12/2018,AM,11:19:11,11:19:47,,,11:19:53,,,5,B,0,,N,0,0,1,1,0,,,,,11:49:00,11:49:12,Delivered a big copy machine 
2/12/2018,PM,13:33:11,13:33:59,,,13:34:04,,,3,B,1,,Y,1,1,0,1,0,,,,,13:57:37,13:58:09,
2/12/2018,PM,14:03:34,14:04:07,,,14:04:14,,,2,B,0,,N,0,1,0,2,0,,,,,15:06:31,15:07:19,
2/12/2018,PM,15:20:55,15:21:25,,,15:21:56,,,5,SV,0,,N,0,0,0,2,0,,,,,,,these guys are the same electrician contractor
2/12/2018,PM,15:33:30,15:33:41,,,15:33:49,,,1,V,0,,Y,1,3,0,1,0,,,,,,,we run out of time to record the engine on time and truck leave time
2/12/2018,PM,12:37:33,12:38:00,,,12:38:04,,,3,SV,0,,Y,0,0,0,1,0,,,,,12:52:57,12:53:01,They are delivering 3 big water bottoles
2/12/2018,PM,12:40:05,12:41:46,12:42:57,,12:41:50,12:43:22,,1,BT,0,,Y,0,36,0,1,0,,,,,13:41:47,13:42:07,They deliver multiple times. First time - Pic 1 (computer machinery) ; Second time Pic 3 (28 packages); 3rd time Pic 4 (8 packages); 4th time Pic 5
2/12/2018,PM,13:02:23,13:03:00,,,13:03:01,,,3,V,0,,N,0,0,0,1,0,1,,,,13:25:08,13:25:12,"They come back with mail did not count, see pictures"
2/12/2018,PM,13:05:05,13:05:30,,,13:05:31,,,2,BT,1,,Y,0,8,0,1,0,,,,,13:26:56,13:27:22,
2/12/2018,PM,14:47:21,14:48:15,,,14:48:31,,,5,V,0,,N,0,0,0,1,0,1,,,,15:19:52,15:20:17,"They come back with lots of mails, did not count, see pictures"
2/12/2018,AM,8:21:35,8:21:43,,,8:21:52,,,3,SV,0,,N,0,0,0,1,0,,,,,9:33:37,9:34:07,Construction  service van not a delivery truck
2/12/2018,AM,8:51:01,8:51:27,,,8:51:28,,,4,V,0,,Y,2,1,0,1,0,,,,,9:29:23,9:30:50,Several mail boxes
2/12/2018,AM,9:04:10,9:06:11,,,9:06:34,,,5,B,0,,Y,16,0,0,2,0,,,,,9:21:08,9:21:49,Food and drinks 
2/12/2018,AM,11:22:15,11:23:08,11:23:48,,11:23:14,11:23:49,,3,CV,1,,Y,8,13,1,1,0,,,,,11:57:22,11:58:05,
2/12/2018,AM,12:21:00,12:22:03,,,12:22:04,,,5,P,0,,Y,2,9,0,1,3,1,,,,12:57:48,12:58:00,3 packages for recycling purpose
2/13/2018,PM,12:36:43,12:36:55,,,12:36:56,,,1,V,0,,N,0,0,0,1,0,,,,,,,"Take some personal items, car types and items "
2/13/2018,PM,12:47:24,12:47:27,,,12:47:33,,,3,P,0,,N,0,0,0,1,0,,,,,12:56:57,12:57:02, Take some personal items
2/13/2018,PM,13:25:22,13:26:02,13:35:26,,13:26:05,13:35:33,,3,CV,1,,Y,1,5,1,1,1,1,1,1,5,13:59:40,14:00:38,"the driver moves the car because the oversized packages, they have 1 pick up and 1 failure, when the driver leaves, she moves the car again to close the door"
